title,disambiguate,slug,slug-old,sort-title,group-by,authors,original,lyrics
Words Without Wrinkles,,words-without-wrinkles,words-without-wrinkles,WORDS WITHOUT WRINKLES,W,,,Will you stand trial<br />For crimes against the mind<br />Don't contradict yourself<br />Not today<br />Quickly fetch the lawyer<br />You haven't long to live<br />Words without wrinkles<br />Will hurt the most<br />Get your story straight<br />I heard them say<br />Quickly fetch the lawyer<br />You've nothin left to give<br /><br />Go to the window<br />Make love to the wind<br />Concentrate and listen<br />This is the end...<br /><br />A tear filled eye<br />Raised to the sky<br />You want us all to notice<br />We got no choice<br />Listen can you hear me<br />You're going home <br />Your dopamine receptors<br />Are shot to hell<br />Your thoughts are spongy <br />You don't seem well<br />Listen can you hear me?<br />You're going home
Words You Used To Say,,words-you-used-to-say,words-you-used-to-say,WORDS YOU USED TO SAY,W,,,
World of One,,world-of-one,world-of-one,WORLD OF ONE,W,,,
The World's Strongest Man,,the-worlds-strongest-man,the-world-s-strongest-man,WORLD'S STRONGEST,W,Scott Walker,Scott Walker,
Wrap Your Arms Around Me,,wrap-your-arms-around-me,wrap-your-arms-around-me,WRAP YOUR ARMS,W,Chapman/Knight,Agnetha Fältskog,
Yoo Doo Right,,yoo-doo-right,yoo-doo-right,YOO DOO RIGHT,Y,Can,Can,
You,,you,you,YOU,Y,Ross/Stim,Angel Corpus Christi,
You Turned My Head Around,,you-turned-my-head-around,you-turned-my-head-around,YOU TURNED MY HEAD AROUND,Y,Lee Hazlewood,Lee Hazlewood and Ann-Margret,
Your Baby,,your-baby,your-baby,YOUR BABY,Y,,,"I wanna be your baby...your doll<br />So come on and get ready.....to fall<br />Yeah...you're gonna fall<br /><br />Oh how your lovin' pleases<br />Just like a little boy's teases<br />And I just wanna stay sleepin' in your lap<br />How about that?<br /><br />I'm gonna love you better than before<br />But it won't last forever<br />So, don't you want more now?<br />Don't you want more?<br /><br />So, come and get what you want here<br />Yeah, you know how I wanna see you<br />Oh, I just wanna be the sparkle in your eye/s tonight<br /><br />You make me happy<br />Come on, do it again<br />You make me happy<br />Come on and make me happy<br />Do it again...oh yeah<br /><br /><br />You make me happy<br />Come on, do it again<br />You make me happy<br />Come on....let's do it again<br />Again....oh yeah"
Bird on the Wire,,bird-on-the-wire,,BIRD ON THE WIRE,B,Leonard Cohen,Leonard Cohen,
I'm Sticking With You,,im-sticking-with-you,,IM STICKING WITH YOU,I,Lou Reed,The Velvet Underground,
Marquee Moon,,marquee-moon,,MARQUEE MOON,M,Tom Verlaine,Television,
Needles in the Camel's Eye,,needles-in-the-camels-eye,,NEEDLES IN THE CAMELS EYE,N,Brian Eno / Phil Manzanera,Brian Eno,
Untitled,,untitled,,UNTITLED,U,Wayne Rogers,,
Walkin' With Jesus,,walkin-with-jesus,,WALKIN WITH JESUS,W,Jason Pierce / Pete Kember,Spacemen 3,
Waterloo Sunset,,waterloo-sunset,,WATERLOO SUNSET,W,Ray Davies,The Kinks,
Ocean,,ocean,,OCEAN,O,Lou Reed,The Velvet Undergroud,
Satellite of Love,,satellite-of-love,,SATELLITE OF LOVE,S,Lou Reed,Lou Reed,
New Sensations,,new-sensations,,NEW SENSATIONS,N,Lou Reed,Lou Reed,
La chat noir,,la-chat-noir,,CHAT NOIR,C,,Aristide Bruant,
La place Maubert,,la-place-maubert,,PLACE MAUBERT,P,,Aristide Bruant,
La Valse Brune,,la-valse-brune,,VALSE BRUNE,V,,Aristide Bruant,
